SVC_CD|FEE
82105|16.77
82106|17
82107|64.41
82108|25.48
82120|5.99
82127|14.18
82128|13.87
82131|22.98
82135|16.45
82136|19.61
82139|16.87
82140|14.57
82143|9.35
82150|6.48
82154|28.83
82157|29.28
82160|25.55
82163|20.52
82164|14.6
82166|38.62
82172|21.09
82175|18.97
82180|9.89
82190|15.9
82232|16.18
82233|0
82234|0
82239|17.12
82240|26.58
82247|5.02
82248|5.02
82252|4.56
82261|16.87
82270|4.38
82271|5.32
82272|4.23
82274|15.92
82286|5.16
82300|23.64
82306|29.6
82308|26.79
82310|5.16
82330|13.68
82331|13.34
82340|6.03
82355|11.58
82360|12.87
82365|12.9
82370|12.52
82373|18.06
82374|4.88
82375|12.32
82376|14.07
82378|18.96
82379|16.87
82380|9.22
82382|27.3
82383|29.08
82384|25.25
82387|18.06
82390|10.74
82397|14.12
82415|12.67
82435|4.6
82436|5.75
82438|5
82441|6.01
82465|4.35
82480|7.87
82482|9.81
82485|20.65
82495|20.28
82507|27.8
82523|18.68
82525|12.41
82528|22.52
82530|16.71
82533|16.3
82540|4.64
82542|24.09
82550|6.51
82552|13.39
82553|11.55
82554|11.87
82565|5.12
82570|5.18
82575|9.46
82585|14.14
82595|6.47
82600|19.4
82607|15.08
82608|14.32
82610|18.52
82615|9.55
82626|25.27
82627|22.23
82633|30.98
82634|29.28
82638|12.25
82642|29.28
82652|38.5
82653|22.97
82656|11.53
82657|22.17
82658|44.03
82664|61.5
82668|18.79
82670|27.94
82671|32.3
82672|21.7
82677|24.18
82679|24.95
82681|27.94
82693|14.9
82696|26.24
82705|5.1
82710|16.8
82715|22.97
82725|18.77
82726|19.75
82728|13.63
82731|64.41
82735|18.54
82746|14.7
82747|17.65
82757|17.34
82759|21.48
82760|11.2
82775|21.07
82776|11.74
82777|44.25
82784|9.3
82785|16.46
82787|8.02
82800|11
82803|26.07
82805|78.77
82810|9.77
82820|13.34
82930|6.71
82938|17.69
82941|17.63
82943|14.29
82945|3.93
82946|17.77
82947|3.93
82948|5.04
82950|4.75
82951|12.87
82952|3.92
82955|9.7
82960|6.05
82962|3.28
82963|21.48
82965|13.15
82977|7.2
82978|15.45
82979|9.44
82985|16.76
83001|18.58
83002|18.52
83003|16.67
83006|75.6
83009|67.36
83010|12.58
83012|26.89
83013|67.36
83014|7.86
83015|20.94
83018|21.96
83020|12.87
83021|18.06
83026|4.01
83030|10.74
83033|8
83036|9.71
83037|9.71
83045|6.49
83050|8.2
83051|7.31
83060|8.8
83065|9
83068|9.47
83069|3.95
83070|4.75
83080|16.87
83088|29.53
83090|17.92
83150|22.41
83491|17.9
83497|12.9
83498|27.17
83500|22.65
83505|24.3
83516|11.53
83518|9.64
83519|18.4
83520|17.27
83521|17.27
83525|11.43
83527|12.95
83528|19.82
83529|17.27
83540|6.47
83550|8.74
83570|8.85
83582|15.47
83586|12.8
83593|28.5
83605|11.57
83615|6.04
83625|12.79
83630|19.7
83631|19.63
83632|20.22
83633|11.25
83655|12.11
83661|21.99
83662|18.91
83663|18.91
83664|19.32
83670|9.81
83690|6.89
83695|14.32
83698|46.31
83700|11.26
83701|33.86
83704|34.19
83718|8.19
83719|12.75
83721|10.5
83722|34.19
83727|17.19
83735|6.7
83775|7.37
83785|26.65
83789|24.11
83825|16.26
83835|16.94
83857|10.74
83861|22.48
83864|28.5
83872|5.86
83873|17.2
83874|12.92
83876|50.86
83880|39.26
83883|13.6
83884|0
83885|24.51
83915|11.15
83916|27.39
83918|23.6
83919|16.45
83921|21.21
83930|6.61
83935|6.82
83937|29.85
83945|14.45
83950|64.41
83951|64.41
83970|41.28
83986|3.58
83987|3.58
83993|19.63
84030|5.5
84035|3.98
84060|7.64
84066|9.66
84075|5.18
84078|8.26
84080|14.78
84081|16.52
84085|9.44
84087|10.73
84100|4.74
84105|5.78
84106|5.82
84110|8.44
84112|98.11
84119|13.36
84120|14.71
84126|39.11
84132|4.76
84133|4.73
84134|14.59
84135|21.27
84138|21.05
84140|20.67
84143|22.81
84144|20.86
84145|27.22
84146|19.38
84150|41.77
84152|18.39
84153|18.39
84154|18.39
84155|3.67
84156|3.67
84157|4
84160|5.61
84163|15.05
84165|10.74
84166|17.83
84181|17.03
84182|29.21
84202|14.35
84203|9.74
84206|26.69
84207|28.1
84210|14.48
84220|9.44
84228|11.63
84233|87.88
84234|64.88
84235|71.23
84238|36.57
84244|21.99
84252|20.24
84255|25.53
84260|30.98
84270|21.73
84275|13.44
84285|25.21
84295|4.81
84300|5.06
84302|4.86
84305|21.26
84307|18.28
84311|8.1
84315|3.28
84375|39
84376|5.5
84377|5.5
84378|11.53
84379|11.53
84392|5.49
84393|0
84394|0
84402|25.47
84403|25.81
84410|51.28
84425|21.23
84430|11.63
84431|35.11
84432|16.06
84433|22.17
84436|6.87
84437|6.47
84439|9.02
84442|14.78
84443|16.8
84445|50.86
84446|14.18
84449|18
84450|5.18
84460|5.3
84466|12.76
84478|5.74
84479|6.47
84480|14.18
84481|16.94
84482|15.76
84484|12.47
84485|7.2
84488|7.3
84490|9.93
84510|10.63
84512|10.09
84520|3.95
84525|5.13
84540|5.56
84545|7.2
84550|4.52
84560|5.08
84577|16.8
84578|4.47
84580|9.55
84583|6.05
84585|15.5
84586|35.33
84588|33.94
84590|11.61
84591|17.06
84597|13.72
84600|17.11
84620|12.91
84630|11.39
84681|20.81
84702|15.05
84703|7.52
84704|15.29
84830|12.7
85002|4.82
85004|6.47
85007|3.8
85008|3.43
85009|5.07
85013|7
85014|2.37
85018|2.37
85025|7.77
85027|6.47
85032|4.31
85041|3.02
85044|4.31
85045|3.99
85046|5.57
85048|2.54
85049|4.48
85055|35.74
85130|11.89
85170|16.3
85175|20.37
85210|12.98
85220|17.65
85230|17.9
85240|17.9
85244|20.42
85245|22.94
85246|22.94
85247|22.94
85250|19.04
85260|17.9
85270|17.9
85280|19.35
85290|16.34
85291|9.11
85292|18.93
85293|18.93
85300|11.85
85301|10.81
85302|12.01
85303|13.84
85305|11.61
85306|15.32
85307|15.32
85335|12.87
85337|17.27
85345|4.69
85347|4.28
85348|4.49
85360|8.41
85362|6.89
85366|80.46
85370|12.43
85378|9.72
85379|10.18
85380|10.18
85384|9.72
85385|14.46
85390|15.48
85397|30.86
85400|7.71
85410|7.71
85415|17.19
85420|6.53
85421|10.18
85441|4.2
85445|6.82
85460|7.73
85461|9.36
85475|8.87
85520|13.09
85525|11.84
85530|13.09
85536|6.88
85540|8.6
85547|8.6
85549|18.75
85555|7.47
85557|13.36
85576|24.91
85597|17.98
85598|17.98
85610|4.29
85611|3.94
85612|17.49
85613|9.58
85635|9.85
85651|4.27
85652|2.7
85660|5.51
85670|5.77
85675|6.85
85705|9.63
85730|6.01
85732|6.47
85810|11.67
86000|6.98
86001|7.82
86003|5.22
86005|7.97
86008|17.93
86015|12.05
86021|15.05
86022|18.37
86023|12.46
86036|12.05
86037|12.05
86038|12.09
86039|11.16
86041|18.4
86042|18.4
86043|12.05
86051|11.53
86052|12.05
86053|37.73
86060|7.3
86063|5.77
86140|5.18
86141|12.95
86146|25.45
86147|25.45
86148|16.07
86152|250.78
86155|15.99
86156|8.07
86157|8.06
86160|12
86161|12
86162|20.32
86171|10.01
86200|12.95
86215|13.25
86225|13.74
86226|12.11
86231|12.09
86235|17.93
86255|12.05
86256|12.05
86258|12.05
86277|15.74
86280|8.19
86294|25.57
86300|20.81
86301|20.81
86304|20.81
86305|20.81
86308|5.18
86309|6.47
86310|7.37
86316|20.81
86317|14.99
86318|18.09
86320|29.92
86325|23.13
86328|45.28
86329|14.05
86331|11.98
86332|24.37
86334|22.34
86335|29.35
86336|15.59
86337|21.41
86340|15.08
86341|23.57
86343|12.46
86344|10.39
86352|135.86
86353|49.03
86355|37.73
86356|26.78
86357|37.73
86359|37.73
86360|46.98
86361|26.78
86362|12.05
86363|37.73
86364|11.53
86366|18.4
86367|77.78
86376|14.55
86381|25.45
86382|16.91
86384|13.61
86386|21.78
86403|11.54
86406|10.64
86408|42.13
86409|79.61
86413|51.43
86430|6.14
86431|5.67
86480|61.98
86481|100
86581|0
86590|12.66
86592|4.27
86593|4.4
86596|12.05
86602|10.18
86603|12.87
86606|15.05
86609|12.88
86611|10.18
86612|12.9
86615|13.19
86617|15.49
86618|17.03
86619|13.38
86622|8.93
86625|13.12
86628|12.01
86631|11.82
86632|12.68
86635|11.47
86638|12.12
86641|14.41
86644|14.39
86645|16.85
86648|15.21
86651|13.19
86652|13.19
86653|13.19
86654|13.19
86658|13.03
86663|13.12
86664|15.29
86665|18.14
86666|10.18
86668|14.16
86671|12.25
86674|14.72
86677|16.85
86682|13.01
86684|15.84
86687|9.09
86688|14
86689|19.35
86692|17.16
86694|14.39
86695|13.19
86696|19.35
86698|13.79
86701|8.89
86702|13.52
86703|13.71
86704|12.05
86705|11.77
86706|10.74
86707|11.57
86708|12.39
86709|11.26
86710|13.55
86711|16.89
86713|15.3
86717|12.25
86720|16.2
86723|13.19
86727|12.87
86732|15
86735|13.05
86738|13.24
86741|13.19
86744|15.99
86747|15.03
86750|13.19
86753|12.39
86756|15.89
86757|19.35
86759|18.23
86762|14.39
86765|12.88
86768|13.19
86769|42.13
86771|24.48
86774|14.8
86777|14.39
86778|14.41
86780|13.24
86784|12.56
86787|12.88
86788|16.85
86789|14.39
86790|12.88
86793|13.19
86794|16.85
86800|15.91
86803|14.27
86804|15.49
86805|189.51
86806|47.59
86807|78.65
86808|29.68
86812|25.81
86813|58
86816|30.17
86817|106.14
86821|36.56
86825|109.49
86826|36.53
86828|64.19
86829|64.19
86830|95.52
86831|81.88
86832|323.75
86833|325.8
86834|357.56
86835|322.96
86850|9.77
86880|5.39
86885|5.72
86886|5.18
86900|2.99
86901|2.99
86902|6.35
86904|16.34
86905|3.83
86906|7.75
86940|8.77
86941|12.11
87003|16.84
87015|6.68
87040|10.32
87045|9.44
87046|9.44
87070|8.62
87071|9.89
87073|9.66
87075|9.47
87076|8.08
87077|8.08
87081|6.63
87084|27.07
87086|8.07
87088|8.09
87101|7.71
87102|8.41
87103|20.46
87106|10.32
87107|10.32
87109|15.39
87110|19.6
87116|10.8
87118|14.61
87140|5.57
87143|12.52
87147|5.18
87149|20.05
87150|35.09
87152|7.74
87153|115.36
87154|218.06
87158|7.74
87164|10.74
87166|11.3
87168|4.27
87169|4.31
87172|4.27
87176|5.88
87177|8.9
87181|4.75
87184|7.48
87185|4.75
87186|8.65
87187|40.17
87188|6.64
87190|7.31
87197|15.02
87205|4.27
87206|5.39
87207|5.99
87209|17.98
87210|5.82
87220|4.27
87230|19.74
87250|19.56
87252|26.07
87253|20.2
87254|19.56
87255|33.86
87260|14.43
87265|11.98
87267|13.42
87269|13.61
87270|11.98
87271|13.42
87272|11.98
87273|11.98
87274|11.98
87275|12.25
87276|16.07
87278|15.6
87279|16.43
87280|13.42
87281|11.98
87283|60.8
87285|12.18
87290|13.42
87299|16.1
87300|11.98
87301|11.98
87305|11.98
87320|15
87324|11.98
87327|13.42
87328|13.82
87329|11.98
87332|11.98
87335|12.66
87336|16
87337|11.98
87338|14.38
87339|16
87340|10.33
87341|10.33
87350|11.53
87380|18.36
87385|13.25
87389|24.08
87390|24.06
87391|21.9
87400|14.13
87420|13.91
87425|11.98
87426|35.33
87427|11.98
87428|70.29
87430|16.81
87449|11.98
87451|10.51
87467|25.32
87468|35.09
87469|35.09
87471|35.09
87472|42.84
87475|20.05
87476|35.09
87478|35.09
87480|20.05
87481|35.09
87482|55.74
87483|416.78
87484|35.09
87485|20.05
87486|35.09
87487|42.84
87490|22.75
87491|35.09
87492|53.47
87493|37.27
87495|30.03
87496|35.09
87497|42.84
87498|35.09
87500|35.09
87501|51.31
87502|95.8
87503|29.22
87505|128.29
87506|262.99
87507|416.78
87510|20.05
87511|35.09
87512|41.76
87513|35.09
87516|35.09
87517|42.84
87520|31.22
87521|35.09
87522|42.84
87523|42.84
87525|29.8
87526|39.26
87527|41.76
87528|20.05
87529|35.09
87530|42.84
87531|58
87532|35.09
87533|41.76
87534|21.92
87535|35.09
87536|85.1
87537|21.92
87538|35.09
87539|58.62
87540|20.05
87541|35.09
87542|41.76
87550|20.05
87551|48.24
87552|42.84
87555|26.88
87556|41.68
87557|42.84
87560|27.29
87561|35.09
87562|42.84
87563|35.09
87564|76.77
87580|20.05
87581|35.09
87582|302.62
87590|26.88
87591|35.09
87592|42.84
87593|51.31
87594|35.09
87623|35.09
87624|35.09
87625|40.55
87626|70.2
87631|142.63
87632|218.06
87633|416.78
87634|70.2
87635|51.31
87636|142.63
87637|142.63
87640|35.09
87641|35.09
87650|20.05
87651|35.09
87652|41.76
87653|35.09
87660|20.05
87661|35.09
87662|51.31
87797|30.03
87798|35.09
87799|42.84
87800|43.67
87801|70.2
87802|12.73
87803|16
87804|16.55
87806|32.77
87807|13.1
87808|15.29
87809|21.76
87810|35.29
87811|41.38
87850|24.56
87880|16.53
87899|16.07
87900|130.35
87901|257.45
87902|257.45
87903|488.66
87904|26.07
87905|12.22
87906|128.73
87910|257.45
87912|257.45
87913|257.45
88130|17.98
88140|7.99
88142|20.26
88143|23.04
88147|50.56
88148|18.19
88150|18.19
88152|27.64
88153|24.03
88155|14.65
88164|18.19
88165|42.22
88166|18.19
88167|18.19
88174|25.37
88175|26.61
88230|116.49
88233|140.73
88235|150.3
88237|143.75
88239|147.52
88240|13.07
88241|12.09
88245|173.17
88248|173.17
88249|173.17
88261|264.34
88262|125.49
88263|150.29
88264|144.61
88267|188.57
88269|173.66
88271|21.42
88272|40.7
88273|34.81
88274|42.38
88275|51.19
88280|33.47
88283|68.6
88285|26.91
88289|34.43
88371|22.23
88372|26.22
88720|5.02
88738|5.02
88740|9.37
88741|9.37
89050|4.72
89051|5.6
89055|4.27
89060|7.33
89125|5.88
89160|4.85
89190|5.79
89300|9.84
89310|8.61
89320|12.31
89321|12.05
89322|15.5
89325|10.67
89329|19.59
89330|10.38
89331|19.59
G0027|6.5
G0103|19.31
G0123|20.26
G0143|27.05
G0144|43.97
G0145|26.49
G0147|18.19
G0148|31.94
G0306|7.77
G0307|6.47
G0327|0
G0328|18.05
G0432|19.57
G0433|18.29
G0435|11.98
G0471|11.09
G0472|46.35
G0475|24.08
G0476|35.09
G0480|114.43
G0481|156.59
G0482|198.74
G0483|246.92
G0499|28.27
G0567|0
G0659|62.14
G9143|120.72
P2028|4.95
P2029|4.95
